"Name","Type","VarType","Network","Network:AccessType","Network:BuffSize","Network:ElemSize","Network:PointsPerWaveform","Network:ProjectBinding","Network:ProjectPath","Network:SingleWriter","Network:UseBinding","Network:UseBuffering"
"IW0","无符号16位整型","Network","on","read only","50","","","True","我的电脑\A131258.lvlib\Modbus\300001","","True","False"
"IW2","无符号16位整型","Network","on","read only","50","","","True","我的电脑\A131258.lvlib\Modbus\300002","","True","False"
"IW4","无符号16位整型","Network","on","read only","50","","","True","我的电脑\A131258.lvlib\Modbus\300003","","True","False"
"IW6","无符号16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\300004","","True","False"
"IW10","无符号16位整型","Network","on","read/write","50","1","1","True","我的电脑\A131258.lvlib\Modbus\300006","False","True","False"
"QW0","布尔数组","Network","on","read/write","50","1","1","True","我的电脑\A131258.lvlib\Modbus\A1L0000016","False","True","False"
"QW2","布尔数组","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\A17L000016","","True","False"
"QW4","布尔数组","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\A33L000016","","True","False"
"QW6","布尔数组","Network","on","read only","50","","","True","我的电脑\A131258.lvlib\Modbus\A49L000016","","True","False"
"QW10","16位整型数组","Network","on","read/write","50","1","1","True","我的电脑\A131258.lvlib\Modbus\A81L000016","False","True","False"
"产品型号","16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400002","","True","False"
"错误代码","16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400004","","True","False"
"当前曲线","16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400005","","True","False"
"工位1状态","无符号16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400006","","True","False"
"扭力传感器","单精度数组","Network","on","read/write","50","1","1","True","我的电脑\A131258.lvlib\Modbus\AF400017L5","False","True","False"
"上位机测试结果","无符号16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400013","","True","False"
"设备编号","16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400001","","True","False"
"设备状态","16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400003","","True","False"
"通讯状态","无符号16位整型","Network","on","read/write","50","","","True","我的电脑\A131258.lvlib\Modbus\400012","","True","False"
